"","ID","Ranking","Type","Status","Reason.for.Closure","Opened","Ready.for.Dev.Date","Closed","Due.Date"
"100",86930,399,"Bug","Closed","Fixed",2014-04-02,2014-05-15,2014-05-28,NA
"101",86936,391,"Bug","Closed","Fixed",2014-05-09,2014-05-12,2014-05-28,NA
"102",86938,395,"Bug","Closed","Fixed",2014-05-09,2014-05-12,2014-05-28,NA
"103",86940,395,"Bug","Closed","Fixed",2014-05-09,2014-05-14,2014-05-28,NA
"104",86955,392,"Bug","Closed","Fixed",2014-05-11,2014-05-12,2014-05-28,NA
"105",86988,980,"Bug","Closed","Fixed",2014-01-20,2014-05-12,2014-05-28,NA
"106",86990,393,"Bug","Closed","Fixed",2014-05-12,2014-05-12,2014-05-28,NA
"107",87122,996,"Bug","Closed","Fixed",2014-05-14,2014-05-14,2014-05-28,NA
"108",87138,917,"Feature","Closed","Done",2014-05-14,2014-05-14,2014-06-04,NA
"109",87313,999,"Bug","Closed","Fixed",2014-05-15,NA,NA,NA
"110",87942,390,"Bug","Closed","Fixed",2014-05-28,2014-05-28,2014-06-11,NA
"111",88039,400,"Bug","Closed","Fixed",2014-05-30,2014-05-30,2014-06-11,NA
"112",88415,400,"Feature","Closed","Done",2014-06-06,NA,2014-06-11,"2014-06-11"
