"","ID","Ranking","Type","Status","Reason.for.Closure","Opened","Ready.for.Dev.Date","Closed","Due.Date"
"235",69381,NA,"Bug","Closed","Fixed",2013-05-14,NA,"2013-08-26",NA
"236",69284,NA,"Bug","Closed","Fixed",2013-05-04,NA,"2013-09-06",NA
"237",68969,NA,"Bug","Closed","Fixed",2013-04-08,NA,"2013-09-06",NA
"238",68497,NA,"Bug","Closed","Fixed",2013-03-03,NA,"2013-08-26",NA
"239",67469,NA,"Bug","Closed","Fixed",2013-01-12,NA,"2013-08-26",NA
"240",67405,NA,"Bug","Closed","Fixed",2013-01-08,NA,"2013-08-26",NA
"241",67174,NA,"Bug","Closed","Fixed",2012-12-07,NA,"2013-08-26",NA
"242",72645,NA,"Bug","Closed","Fixed",2013-10-16,NA,"2013-10-17",NA
"243",72601,NA,"Bug","Closed","Fixed",2013-10-12,NA,"2013-10-25",NA
"244",72579,NA,"Bug","Closed","Fixed",2013-10-11,NA,"2013-10-23",NA
"245",72491,NA,"Bug","Closed","Fixed",2013-10-07,NA,"2013-10-17",NA
"246",72478,NA,"Bug","Closed","Fixed",2013-10-06,NA,"2013-10-23",NA
"247",72475,NA,"Bug","Closed","Fixed",2013-10-05,NA,"2013-10-23",NA
"248",72355,NA,"Bug","Closed","Fixed",2013-10-02,NA,"2013-10-15",NA
"249",72369,NA,"Bug","Closed","Fixed",2013-10-02,NA,"2013-10-23",NA
"250",72339,NA,"Bug","Closed","Fixed",2013-10-01,NA,"2013-10-23",NA
"251",72114,NA,"Bug","Closed","Fixed",2013-09-23,NA,"2013-10-15",NA
"252",72109,NA,"Bug","Closed","Fixed",2013-09-20,NA,"2013-10-23",NA
"253",72062,NA,"Feature","Closed","Done",2013-09-18,NA,"2013-10-17",NA
"254",71661,NA,"Bug","Closed","Fixed",2013-09-16,NA,"2013-10-23",NA
"255",71633,NA,"Bug","Closed","Fixed",2013-09-13,NA,"2013-10-23",NA
"256",71640,NA,"Bug","Closed","Fixed",2013-09-13,NA,"2013-10-23",NA
"257",71591,NA,"Bug","Closed","Fixed",2013-09-12,NA,"2013-10-16",NA
"258",71599,NA,"Bug","Closed","Fixed",2013-09-12,NA,"2013-10-23",NA
"259",71510,NA,"Bug","Closed","Fixed",2013-09-06,NA,"2013-10-23",NA
"260",71011,NA,"Bug","Closed","Fixed",2013-08-14,NA,"2013-10-17",NA
"261",70993,NA,"Feature","Closed","Done",2013-08-14,NA,"2013-10-23",NA
"262",70695,NA,"Bug","Closed","Fixed",2013-08-01,NA,"2013-10-23",NA
"263",70407,NA,"Bug","Closed","Fixed",2013-07-15,NA,"2013-10-17",NA
"264",69975,NA,"Feature","Closed","Done",2013-06-18,NA,"2013-10-08",NA
"265",69761,NA,"Feature","Closed","Done",2013-06-05,NA,"2013-10-23",NA
"266",66007,NA,"Bug","Closed","Fixed",2012-08-20,NA,"2013-10-23",NA
"267",72952,NA,"Bug","Closed","Fixed",2013-10-28,NA,"2013-11-05",NA
"268",72373,NA,"Bug","Closed","Fixed",2013-10-02,NA,"2013-11-06",NA
"269",72034,NA,"Feature","Closed","Done",2013-09-18,NA,"2013-10-29",NA
"270",71569,NA,"Bug","Closed","Fixed",2013-09-11,NA,"2013-11-06",NA
"271",71571,NA,"Bug","Closed","Fixed",2013-09-11,NA,"2013-11-06",NA
"272",71461,NA,"Bug","Closed","Fixed",2013-09-04,NA,"2013-11-06",NA
"273",71400,NA,"Bug","Closed","Fixed",2013-08-30,NA,"2013-10-31",NA
"274",70607,NA,"Bug","Closed","Fixed",2013-07-29,NA,"2013-11-05",NA
"275",70570,NA,"Bug","Closed","Fixed",2013-07-25,NA,"2013-11-05",NA
"276",71367,NA,"Feature","Closed","Done",2013-07-25,NA,"2013-11-06",NA
"277",70393,NA,"Bug","Closed","Fixed",2013-07-14,NA,"2013-11-06",NA
"278",68655,NA,"Bug","Closed","Fixed",2013-03-13,NA,"2013-11-05",NA
"279",72219,NA,"Feature","Closed","Done",2013-09-24,NA,"2013-11-13",NA
"280",72962,NA,"Feature","Closed","Done",2013-10-28,NA,"2013-11-18",NA
"281",72523,NA,"Feature","Closed","Done",2013-10-09,NA,"2013-11-25",NA
"282",72921,NA,"Bug","Closed","Fixed",2013-10-26,NA,"2013-12-02",NA
"283",72525,NA,"Feature","Closed","Done",2013-10-09,NA,"2013-11-25",NA
"284",72362,NA,"Bug","Closed","Fixed",2013-10-02,NA,"2013-12-04",NA
"285",72275,NA,"Bug","Closed","Fixed",2013-09-26,NA,"2013-12-04",NA
"286",72107,NA,"Bug","Closed","Fixed",2013-09-19,NA,"2013-12-04",NA
"287",70893,NA,"Bug","Closed","Fixed",2013-08-09,NA,"2013-12-04",NA
"288",68677,NA,"Bug","Closed","Fixed",2013-03-14,NA,"2013-12-04",NA
"289",74104,NA,"Bug","Closed","Fixed",2013-11-28,NA,"2013-12-11",NA
"290",73211,NA,"Bug","Closed","Fixed",2013-11-11,NA,"2013-12-11",NA
"291",73214,NA,"Bug","Closed","Fixed",2013-11-11,NA,"2013-12-11",NA
"292",73147,NA,"Bug","Closed","Fixed",2013-11-07,NA,"2013-12-11",NA
"293",72909,NA,"Bug","Closed","Fixed",2013-10-25,NA,"2013-12-11",NA
"294",72835,NA,"Bug","Closed","Fixed",2013-10-22,NA,"2013-12-11",NA
"295",72821,NA,"Feature","Closed","Done",2013-10-21,NA,"2013-12-17",NA
"296",72817,NA,"Bug","Closed","Fixed",2013-10-21,NA,"2013-12-11",NA
"297",72819,NA,"Bug","Closed","Fixed",2013-10-21,NA,"2013-12-11",NA
"298",72617,NA,"Bug","Closed","Fixed",2013-10-14,NA,"2013-12-11",NA
"299",72608,NA,"Bug","Closed","Fixed",2013-10-12,NA,"2013-12-11",NA
"300",72599,NA,"Bug","Closed","Fixed",2013-10-11,NA,"2013-12-11",NA
"301",72600,NA,"Bug","Closed","Fixed",2013-10-11,NA,"2013-12-11",NA
"302",72527,NA,"Bug","Closed","Fixed",2013-10-09,NA,"2013-12-11",NA
"303",72512,NA,"Bug","Closed","Fixed",2013-10-08,NA,"2013-12-11",NA
"304",72479,NA,"Bug","Closed","Fixed",2013-10-06,NA,"2013-12-11",NA
"305",72457,NA,"Bug","Closed","Fixed",2013-10-03,NA,"2013-12-03",NA
"306",72374,NA,"Bug","Closed","Fixed",2013-10-02,NA,"2013-12-11",NA
"307",72316,NA,"Bug","Closed","Fixed",2013-09-30,NA,"2013-12-11",NA
"308",72312,NA,"Bug","Closed","Fixed",2013-09-27,NA,"2013-12-11",NA
"309",72230,NA,"Bug","Closed","Fixed",2013-09-24,NA,"2013-12-11",NA
"310",72128,NA,"Bug","Closed","Fixed",2013-09-23,NA,"2013-12-11",NA
"311",71378,NA,"Bug","Closed","Fixed",2013-08-28,NA,"2013-12-11",NA
"312",70923,NA,"Bug","Closed","Fixed",2013-08-11,NA,"2013-12-11",NA
"313",70706,NA,"Bug","Closed","Fixed",2013-08-01,NA,"2013-12-11",NA
